index,rank,id,name,tel,isCallLink,virtualTel,ppc,category/0,category/1,categoryPath/0/0,categoryPath/0/1,categoryPath/0/2,address,roadAddress,abbrAddress,shortAddress,display,telDisplay,reviewCount,ktCallMd,coupon,thumUrl,type,isSite,posExact,x,y,itemLevel,isAdultBusiness,streetPanorama/id,streetPanorama/pan,streetPanorama/tilt,streetPanorama/lng,streetPanorama/lat,streetPanorama/fov,skyPanorama/id,skyPanorama/pan,skyPanorama/tilt,skyPanorama/lng,skyPanorama/lat,skyPanorama/fov,insidePanorama,interiorPanorama,indoorPanorama,theme,poiInfo/relation,poiInfo/hasRelation,poiInfo/road/poiShapeType,poiInfo/road/shapeKey,poiInfo/road/boundary,poiInfo/road/detail,poiInfo/hasRoad,poiInfo/land,poiInfo/hasLand,poiInfo/polygon,poiInfo/hasPolygon,homePage,description,entranceCoords,isPollingPlace,bizhourInfo,menuInfo,petrolInfo,couponUrl,couponUrlMobile,hasCardBenefit,menuExist,hasNaverBooking,naverBookingUrl,naverEasyOrderUrl,hasNaverSmartOrder,reservationLabel/standard,reservationLabel/preOrder,reservationLabel/table,reservationLabel/takeout,reservation/benefit,hasBroadcastInfo,broadcastInfo,shopWindowInfo,hasNPay,carWash,parkingPrice,card,distance,marker,markerSelected,michelinGuide,indoor,markerLabel,subway,categoryPath/0/3,shortAddress/0,shortAddress/1,entranceCoords/car/0/rep,entranceCoords/car/0/x,entranceCoords/car/0/y,entranceCoords/walk/0/rep,entranceCoords/walk/0/x,entranceCoords/walk/0/y,streetPanorama,skyPanorama,poiInfo/relation/poiShapeType,poiInfo/relation/shapeKey/typeName,poiInfo/relation/shapeKey/wsid,poiInfo/relation/shapeKey/shapeID,poiInfo/relation/boundary/minX,poiInfo/relation/boundary/minY,poiInfo/relation/boundary/maxX,poiInfo/relation/boundary/maxY,poiInfo/relation/detail/0/type,poiInfo/relation/detail/0/sid,poiInfo/relation/detail/0/fullName,poiInfo/relation/detail/0/name,poiInfo/relation/detail/0/category,poiInfo/relation/detail/0/xPos,poiInfo/relation/detail/0/yPos,poiInfo/relation/detail/1/type,poiInfo/relation/detail/1/sid,poiInfo/relation/detail/1/fullName,poiInfo/relation/detail/1/name,poiInfo/relation/detail/1/category,poiInfo/relation/detail/1/xPos,poiInfo/relation/detail/1/yPos,poiInfo/relation/detail/2/type,poiInfo/relation/detail/2/sid,poiInfo/relation/detail/2/fullName,poiInfo/relation/detail/2/name,poiInfo/relation/detail/2/category,poiInfo/relation/detail/2/xPos,poiInfo/relation/detail/2/yPos,entranceCoords/car/1/rep,entranceCoords/car/1/x,entranceCoords/car/1/y,entranceCoords/walk/1/rep,entranceCoords/walk/1/x,entranceCoords/walk/1/y,entranceCoords/car,shortAddress/2,categoryPath/0/4,entranceCoords/walk/2/rep,entranceCoords/walk/2/x,entranceCoords/walk/2/y,poiInfo/relation/detail/3/type,poiInfo/relation/detail/3/sid,poiInfo/relation/detail/3/fullName,poiInfo/relation/detail/3/name,poiInfo/relation/detail/3/category,poiInfo/relation/detail/3/xPos,poiInfo/relation/detail/3/yPos,entranceCoords/walk/3/rep,entranceCoords/walk/3/x,entranceCoords/walk/3/y
28,59,16316313,광주영락공원묘지관리사무소,,false,,0,"기업,빌딩",부속건물,227616,227890,227896,광주광역시 북구 효령동 100-2,광주광역시 북구 영락공원로 170,효령동 100-2,,<b>광주</b>영락<b>공원</b>묘지관리사무소,,0,b402b1ab090f9893321df2cbe60d9151,0,,s,1,1,126.9163738,35.2309592,12,false,lfV+7oi6jXUKJznbsZVPcQ==,106.89,10.00,126.9161660,35.2310221,120,,,,,,,,,,,,false,1,,,,false,,false,,false,,,,false,,,,,,false,0,false,,,false,false,false,false,false,,false,,,false,,-1,,7315.19,nres://marker/00063-00035,nres://marker/00063-00188,,,,,227898,광주 북구,영락공원로 170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,60,1782036026,해마루공원,,false,,0,"여행,명소",근린공원,222117,222122,222170,광주광역시 남구 행암동  554,,,,해마루<b>공원</b>,,1,7eb370f5520c78a3688e26a240820aa5,0,,s,1,1,126.8854365,35.1026284,12,false,PZij4ISq34IukNpBa+L4pA==,-27.03,10.00,126.8856320,35.1022450,120,,,,,,,,,,,,false,1,,,,false,,false,,false,,,,false,,,,,,false,0,false,,,false,false,false,false,false,,false,,,false,,-1,,8100.71,nres://marker/00060-00110,nres://marker/00060-00265,,,,,222195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,61,84936414,역사공원,,false,,0,"여행,명소",근린공원,222117,222122,222170,광주광역시 광산구 신창동,,,,역사<b>공원</b>,,3,c3e280d1c67ab437fafedac1d0a54f58,0,,s,1,1,126.8444390,35.1959270,11,false,MVGv4exiL/pyKZ8PZLDfyQ==,-90.24,2.85,126.8459795,35.1949272,80,2MdCzsmc+EdiaB9PtIyzRQ==,111.75,-30.00,126.8427811,35.1965866,124,,,,,,false,1,,,,false,,false,,false,,,,false,,,,,,false,0,false,,,false,false,false,false,false,,false,,,false,,-1,,3598.45,nres://marker/00036-00079,nres://marker/00036-00203,,,,,222195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,62,36286875,월산근린공원산책로,,false,,0,"도시,테마공원",부속시설,222117,222122,222170,광주광역시 남구 월산동,,,,월산근린<b>공원</b>산책로,,1,359e89ddbb9945d5190fcc7cd6505301,0,,s,1,1,126.8973204,35.1422811,12,false,Gsqonx09i3FIkIjm5i5uxA==,82.23,10.00,126.8967383,35.1422012,120,6ETaoXf5OWY9s+iwB+CNIg==,61.99,-30.00,126.8966675,35.1419334,124,,,,,,false,1,,,,false,,false,,false,,,,false,,,,,,false,0,false,,,false,false,false,false,false,,false,,,false,,-1,,4180.43,nres://marker/00058-00060,nres://marker/00058-00215,,,,,1000101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,63,19613181,풍영체육시설단지,,false,,0,지역명소,"도시,테마공원",222117,222122,222170,광주광역시 광산구 우산동 594,광주광역시 광산구 풍영철길로 106-2,우산동 594,,풍영체육시설단지,,0,d320e64cf1a1af044664329cafaf9dd5,0,,s,1,1,126.8202273,35.1667719,12,false,hiZVs3s2CaBYsDQ0s8icEw==,76.35,1.17,126.8196101,35.1664251,80,fyMvK+9yrTkXj/0ylqPPww==,83.97,-30.00,126.8166656,35.1663933,124,,,,,,false,1,,,,false,,false,,false,,,,false,,,,,,false,0,false,,,false,false,false,false,false,,false,,,false,,-1,,5014.44,nres://marker/00060-00110,nres://marker/00060-00265,,,,,231762,광주 광산구,풍영철길로 106-2,true,126.8190624,35.1675667,true,126.8190624,35.1675667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,64,924540217,광주영락공원묘지개나리묘역,,false,,0,장례,묘지,223267,223280,223376,광주광역시 북구 효령동,,,,<b>광주</b>영락<b>공원</b>묘지개나리묘역,,0,e1020865e6ad5dae31dcfd9bb8dbe524,0,,s,1,1,126.9204020,35.2281255,12,false,8XYm0yfsIM/+O3YTNpUugA==,98.24,10.00,126.9201825,35.2281571,120,,,,,,,,,,,,false,1,,,,false,,false,,false,,,,false,,,,,,false,0,false,,,false,false,false,false,false,,false,,,false,,-1,,7252.68,nres://marker/00034-00042,nres://marker/00034-00162,,,,,229174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,65,16316509,광주북부경찰서우치공원임시파출소,,false,,0,경찰서,파출소,222935,223060,223061,광주광역시 북구 생용동 107-1,,,,<b>광주</b>북부경찰서우치<b>공원</b>임시파출소,,0,69615e224360facb17623922ab3662c7,0,,s,1,1,126.8994125,35.2250513,12,false,qj1wvZH/aEGnndHGHRxR+w==,35.39,10.00,126.8993001,35.2248930,120,Zd733DMpUBhSHXQynWXfJw==,32.83,-30.00,126.8972015,35.2216225,124,,,,,,false,1,,,,false,,false,,false,,,,false,,,,,,false,0,false,,,false,false,false,false,false,,false,,,false,,-1,,6029.39,nres://marker/00063-00116,nres://marker/00063-00270,,,,,223163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,223162,,,,,,,,,,,,,
35,66,1496302046,초월생활체육공원,,false,,0,지역명소,"도시,테마공원",222117,222122,222170,경기도 광주시 초월읍 늑현리 193-2,,,,초월생활체육<b>공원</b>,,4,328132db8f7b7e59242221a66f262b4d,0,,s,1,1,127.3166016,37.3653172,12,false,Wn+a5bjKfYvNfX/q0t0/KQ==,84.66,10.00,127.3161884,37.3652783,120,,,,,,,,,,,,false,1,,,,false,,false,,false,,,,false,,,,,,false,0,false,,,false,false,false,false,false,,false,,,false,,-1,,246984.01,nres://marker/00045-00079,nres://marker/00045-00203,,,,,231762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,67,19654197,고래실공원,,false,,0,"여행,명소",근린공원,222117,222122,222170,광주광역시 광산구 수완동,,,,고래실<b>공원</b>,,5,fdec3f8e3b033a7fe19e88426dcb48a1,0,,s,1,1,126.8296139,35.1951750,12,false,P8M0cMwYX7xFabpjW3jL6Q==,-115.95,-5.97,126.8299084,35.1954023,80,Tru90Bidem0RBR0yN9O/TA==,91.73,-30.00,126.8241653,35.1953354,124,,,,,,false,1,,,,false,,false,,false,,,,false,,,,,,false,0,false,,,false,false,false,false,false,,false,,,false,,-1,,4663.05,nres://marker/00036-00079,nres://marker/00036-00203,,,,,222195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,68,16275211,염주근린공원,,false,,0,"여행,명소",근린공원,222117,222122,222170,광주광역시 서구 화정동,,,,염주근린<b>공원</b>,,5,de29879e8f5e7e4e5c18509ae5a5be55,0,,s,1,1,126.8787880,35.1421490,12,false,wu4tY5xqHoemwz1279OW0w==,-154.19,-0.37,126.8790730,35.1427200,80,uKwivQQYDgqW9M+cBOOS+g==,-102.37,-30.00,126.8797226,35.1423531,124,,,,,,true,1,,,,false,,false,,false,,,,false,,,,,,false,0,false,,,false,false,false,false,false,,false,,,false,,-1,,3661.82,nres://marker/00037-00079,nres://marker/00037-00203,,,,,222195,,,,,,false,126.8786,35.1414667,,,1,RELA,1.0,16275211,117.9926027,19.6944771,117.9926027,19.6944771,5,19618618,염주공원입구,입구,입구(사람),126.8786000,35.1414667,5,19618616,염주공원입구,입구,입구(사람),126.8792250,35.1422083,,,,,,,,,,,false,126.879225,35.1422083,,,,,,,,,,,,,,,,
38,69,16306262,우산체육공원,,false,,0,지역명소,"도시,테마공원",222117,222122,222170,광주광역시 북구 우산동,,,,우산체육<b>공원</b>,,0,f911604c12cb42da6d72f050ef59e1a3,0,,s,1,1,126.9219486,35.1766408,12,false,Ju/AH1DCkAzmJb0Iif7PVA==,24.41,10.00,126.9216851,35.1760597,120,6Uvz6Wb+3ZK3rMsUU78ubw==,-67.90,-30.00,126.9244461,35.1756248,124,,,,,,true,1,,,,false,,false,,false,,,,false,,,,,,false,0,false,,,false,false,false,false,false,,false,,,false,,-1,,4325.24,nres://marker/00045-00079,nres://marker/00045-00203,,,,,231762,,,true,126.9225629,35.1758942,true,126.9225629,35.1758942,,,1,RELA,1.0,16306262,117.9926027,19.6944771,117.9926027,19.6944771,1,1609858669,우산체육공원입구,입구,입구(사람+차량),126.9225629,35.1758942,5,1412103643,우산체육공원입구,입구,입구(사람),126.9212512,35.1762495,5,1784618094,우산체육공원입구,입구,입구(사람),126.9218811,35.1760800,,,,false,126.9212512,35.1762495,,,,false,126.9218811,35.17608,,,,,,,,,,
